Compare σ (low-first):
[OK ] sigma[0] dut=911(0x38f) == ref=911(0x38f)
[OK ] sigma[1] dut=757(0x2f5) == ref=757(0x2f5)
[OK ] sigma[2] dut=564(0x234) == ref=564(0x234)
[OK ] sigma[3] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[4] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[5] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[6] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[7] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[8] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[9] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[10] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[11] dut=0(0x0) == ref=0(0x0)

Compare v (low-first, t terms):
[OK ] v[0] dut=653(0x28d) == ref=653(0x28d)
[OK ] v[1] dut=576(0x240) == ref=576(0x240)
[OK ] v[2] dut=0(0x0) == ref=0(0x0)
[OK ] v[3] dut=0(0x0) == ref=0(0x0)
[OK ] v[4] dut=0(0x0) == ref=0(0x0)
[OK ] v[5] dut=0(0x0) == ref=0(0x0)
[OK ] v[6] dut=0(0x0) == ref=0(0x0)
[OK ] v[7] dut=0(0x0) == ref=0(0x0)
[OK ] v[8] dut=0(0x0) == ref=0(0x0)
[OK ] v[9] dut=0(0x0) == ref=0(0x0)
[OK ] v[10] dut=0(0x0) == ref=0(0x0)

[PASS] DUT matches REF (sigma & v)
