Compare σ (low-first):
[OK ] sigma[0] dut=975(0x3cf) == ref=975(0x3cf)
[OK ] sigma[1] dut=690(0x2b2) == ref=690(0x2b2)
[OK ] sigma[2] dut=1012(0x3f4) == ref=1012(0x3f4)
[OK ] sigma[3] dut=705(0x2c1) == ref=705(0x2c1)
[OK ] sigma[4] dut=925(0x39d) == ref=925(0x39d)
[OK ] sigma[5] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[6] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[7] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[8] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[9] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[10] dut=0(0x0) == ref=0(0x0)
[OK ] sigma[11] dut=0(0x0) == ref=0(0x0)

Compare v (low-first, t terms):
[OK ] v[0] dut=160(0xa0) == ref=160(0xa0)
[OK ] v[1] dut=732(0x2dc) == ref=732(0x2dc)
[OK ] v[2] dut=895(0x37f) == ref=895(0x37f)
[OK ] v[3] dut=904(0x388) == ref=904(0x388)
[OK ] v[4] dut=0(0x0) == ref=0(0x0)
[OK ] v[5] dut=0(0x0) == ref=0(0x0)
[OK ] v[6] dut=0(0x0) == ref=0(0x0)
[OK ] v[7] dut=0(0x0) == ref=0(0x0)
[OK ] v[8] dut=0(0x0) == ref=0(0x0)
[OK ] v[9] dut=0(0x0) == ref=0(0x0)
[OK ] v[10] dut=0(0x0) == ref=0(0x0)

[PASS] DUT matches REF (sigma & v)
