# corrected codeword (x^543..x^0), w=10
0,0x302
1,0x2be
2,0x129
3,0x3a1
4,0x61
5,0x35d
6,0x346
7,0x2ea
8,0x21
9,0x3fd
10,0x238
11,0x27e
12,0x159
13,0x9f
14,0x73
15,0x49
16,0x319
17,0x2cf
18,0x267
19,0x10b
20,0x214
21,0x266
22,0x207
23,0x25f
24,0x377
25,0x179
26,0x158
27,0x9e
28,0x399
29,0x31f
30,0x191
31,0x24f
32,0x378
33,0x30a
34,0x74
35,0x4a
36,0x172
37,0xac
38,0x304
39,0x2c0
40,0x156
41,0x22c
42,0x36
43,0x344
44,0x386
45,0x312
46,0x332
47,0x2dc
48,0x77
49,0x4d
50,0x246
51,0x286
52,0x220
53,0x26c
54,0x251
55,0x28b
56,0x211
57,0xd3
58,0x62
59,0x1ce
60,0x178
61,0x242
62,0x393
63,0x319
64,0x278
65,0x2a6
66,0x112
67,0x390
68,0x309
69,0x2c5
70,0x222
71,0xde
72,0x139
73,0x8b
74,0x134
75,0x3a6
76,0x34
77,0x1b2
78,0x123
79,0x20b
80,0x7
81,0x3ef
82,0x55
83,0x1c7
84,0x16
85,0x330
86,0x214
87,0x266
88,0x33
89,0x21
90,0x85
91,0x1e5
92,0x140
93,0x21a
94,0x375
95,0x307
96,0x136
97,0x88
98,0x43
99,0x34b
100,0x326
101,0x146
102,0x157
103,0x22d
104,0x277
105,0x2a5
106,0x11
107,0xb
108,0x154
109,0x9a
110,0x271
111,0x29f
112,0x361
113,0x2f9
114,0x126
115,0x20e
116,0x63
117,0x35f
118,0x148
119,0x94
120,0x384
121,0x310
122,0x328
123,0x2d8
124,0x158
125,0x9e
126,0x90
127,0x5a
128,0x110
129,0x1fe
130,0x143
131,0x3af
132,0x114
133,0x72
134,0x348
135,0x2ec
136,0x126
137,0x7e
138,0x349
139,0x2ed
140,0x264
141,0x108
142,0x73
143,0x369
144,0x296
145,0x2b8
146,0x26
147,0x1a
148,0x134
149,0x86
150,0x155
151,0x9b
152,0x148
153,0x3b4
154,0x26
155,0x33a
156,0x120
157,0x208
158,0x40
159,0x348
160,0x167
161,0x3c7
162,0x33
163,0x341
164,0x222
165,0xde
166,0x2
167,0x3ea
168,0x13
169,0xd
170,0x74
171,0x4a
172,0x277
173,0x115
174,0x136
175,0x218
176,0x396
177,0x18c
178,0x180
179,0x3d4
180,0x68
181,0x44
182,0x51
183,0x1c3
184,0x312
185,0x2c8
186,0x169
187,0x239
188,0x242
189,0xf2
190,0x250
191,0xfa
192,0x152
193,0x228
194,0x164
195,0xa4
196,0x146
197,0x3b2
198,0x77
199,0x4d
200,0x131
201,0x213
202,0x75
203,0x1db
204,0x75
205,0x1db
206,0x58
207,0x3a
208,0x361
209,0x2f9
210,0x301
211,0x2bd
212,0x113
213,0x391
214,0x140
215,0x21c
216,0x56
217,0x38
218,0x59
219,0x35b
220,0x259
221,0x293
222,0x269
223,0x10d
224,0x286
225,0x2ae
226,0x323
227,0x143
228,0x204
229,0xcc
230,0x53
231,0x1c5
232,0x152
233,0x228
234,0x117
235,0x75
236,0x127
237,0x7f
238,0x47
239,0x1bf
240,0x128
241,0x210
242,0x221
243,0xdd
244,0x67
245,0x1d3
246,0x395
247,0x31b
248,0x251
249,0xfb
250,0x154
251,0x9a
252,0x175
253,0x23f
254,0x240
255,0xf0
256,0x113
257,0x201
258,0x360
259,0x2f8
260,0x327
261,0x2d7
262,0x177
263,0xb1
264,0x266
265,0x10a
266,0x6
267,0x326
268,0x339
269,0x2e3
270,0x27
271,0x1ab
272,0x19
273,0x13
274,0x291
275,0x2b3
276,0x310
277,0x136
278,0x396
279,0x31c
280,0x339
281,0x2e3
282,0x135
283,0x87
284,0x276
285,0x2a4
286,0x386
287,0x312
288,0x155
289,0x9b
290,0x12
291,0x19c
292,0x333
293,0x14d
294,0x82
295,0x372
296,0x44
297,0x2c
298,0x172
299,0xac
300,0x149
301,0x95
302,0x120
303,0x398
304,0x58
305,0x35a
306,0x20
307,0x3fc
308,0x170
309,0x23a
310,0x17
311,0x1a1
312,0x63
313,0x1cf
314,0x394
315,0x31a
316,0x151
317,0x3b7
318,0x262
319,0x106
320,0x138
321,0x3aa
322,0x121
323,0x79
324,0x301
325,0x2bd
326,0x286
327,0x11e
328,0x395
329,0x18b
330,0x147
331,0x223
332,0x7
333,0x3ef
334,0x61
335,0x35d
336,0x272
337,0x110
338,0x124
339,0x39c
340,0x278
341,0x2a6
342,0x325
343,0x2d5
344,0x132
345,0x214
346,0x391
347,0x317
348,0x246
349,0xf6
350,0x15
351,0x19f
352,0x5
353,0x5
354,0x162
355,0xa2
356,0x237
357,0x27d
358,0x153
359,0x229
360,0x192
361,0x250
362,0x214
363,0xd6
364,0x352
365,0x160
366,0x295
367,0x2b7
368,0x33
369,0x1b1
370,0x347
371,0x15b
372,0x54
373,0x36
374,0x236
375,0x27c
376,0x359
377,0x167
378,0x217
379,0xd9
380,0x325
381,0x2d5
382,0x113
383,0x391
384,0x132
385,0x3a4
386,0x312
387,0x138
388,0x4
389,0x3ec
390,0x37
391,0x25
392,0x37
393,0x345
394,0x91
395,0x5b
396,0x300
397,0x12c
398,0x320
399,0x140
400,0x181
401,0xb5
402,0x208
403,0xd0
404,0x126
405,0x7e
406,0x137
407,0x3a9
408,0x131
409,0x213
410,0x23
411,0x1a7
412,0x145
413,0x91
414,0x100
415,0x384
416,0x15
417,0x32f
418,0x128
419,0x3a0
420,0x264
421,0x108
422,0x67
423,0x363
424,0x106
425,0x1fa
426,0x52
427,0x1c4
428,0x169
429,0x239
430,0x224
431,0x270
432,0x267
433,0x29b
434,0x142
435,0x8e
436,0x8
437,0x198
438,0x191
439,0x24f
440,0x8
441,0x3f0
442,0x4
443,0x4
444,0x0
445,0x0
446,0x306
447,0x2c2
448,0x37
449,0x25
450,0x385
451,0x181
452,0x291
453,0x2b3
454,0x170
455,0xaa
456,0x338
457,0x2e2
458,0x346
459,0x15a
460,0x63
461,0x3f
462,0x61
463,0x35d
464,0x233
465,0xe9
466,0x21
467,0x3fd
468,0x138
469,0x21a
470,0x379
471,0x30b
472,0x59
473,0x1cb
474,0x64
475,0x40
476,0x53
477,0x355
478,0x188
479,0x3dc
480,0x191
481,0xbf
482,0x369
483,0x301
