# RS(544,522) data_k frame (MSB-first)
# Line i = data_k[521-i], fields: dec,0xHEX (10-bit)
139,0x08b
15,0x00f
650,0x28a
322,0x142
714,0x2ca
788,0x314
521,0x209
197,0x0c5
223,0x0df
103,0x067
906,0x38a
300,0x12c
103,0x067
881,0x371
502,0x1f6
254,0x0fe
906,0x38a
489,0x1e9
303,0x12f
568,0x238
611,0x263
213,0x0d5
560,0x230
881,0x371
491,0x1eb
13,0x00d
168,0x0a8
243,0x0f3
789,0x315
908,0x38c
174,0x0ae
220,0x0dc
828,0x33c
790,0x316
248,0x0f8
721,0x2d1
150,0x096
110,0x06e
238,0x0ee
299,0x12b
401,0x191
482,0x1e2
111,0x06f
812,0x32c
678,0x2a6
75,0x04b
262,0x106
626,0x272
590,0x24e
358,0x166
155,0x09b
636,0x27c
41,0x029
514,0x202
427,0x1ab
317,0x13d
307,0x133
1013,0x3f5
374,0x176
561,0x231
686,0x2ae
456,0x1c8
205,0x0cd
69,0x045
800,0x320
320,0x140
57,0x039
236,0x0ec
447,0x1bf
981,0x3d5
803,0x323
549,0x225
71,0x047
994,0x3e2
804,0x324
811,0x32b
824,0x338
985,0x3d9
983,0x3d7
45,0x02d
764,0x2fc
196,0x0c4
569,0x239
536,0x218
250,0x0fa
214,0x0d6
945,0x3b1
872,0x368
47,0x02f
593,0x251
492,0x1ec
507,0x1fb
25,0x019
1005,0x3ed
481,0x1e1
785,0x311
922,0x39a
398,0x18e
889,0x379
526,0x20e
776,0x308
869,0x365
857,0x359
885,0x375
988,0x3dc
102,0x066
625,0x271
936,0x3a8
889,0x379
96,0x060
626,0x272
428,0x1ac
187,0x0bb
303,0x12f
985,0x3d9
679,0x2a7
123,0x07b
904,0x388
39,0x027
844,0x34c
827,0x33b
146,0x092
977,0x3d1
441,0x1b9
897,0x381
127,0x07f
305,0x131
812,0x32c
1004,0x3ec
998,0x3e6
91,0x05b
290,0x122
797,0x31d
552,0x228
120,0x078
563,0x233
420,0x1a4
937,0x3a9
265,0x109
524,0x20c
342,0x156
413,0x19d
216,0x0d8
965,0x3c5
508,0x1fc
562,0x232
532,0x214
444,0x1bc
394,0x18a
548,0x224
119,0x077
169,0x0a9
706,0x2c2
381,0x17d
602,0x25a
966,0x3c6
47,0x02f
239,0x0ef
279,0x117
201,0x0c9
209,0x0d1
196,0x0c4
957,0x3bd
797,0x31d
1000,0x3e8
459,0x1cb
394,0x18a
953,0x3b9
468,0x1d4
664,0x298
582,0x246
429,0x1ad
578,0x242
655,0x28f
656,0x290
42,0x02a
1005,0x3ed
758,0x2f6
388,0x184
147,0x093
485,0x1e5
787,0x313
429,0x1ad
1017,0x3f9
202,0x0ca
416,0x1a0
892,0x37c
648,0x288
478,0x1de
696,0x2b8
610,0x262
969,0x3c9
523,0x20b
138,0x08a
210,0x0d2
36,0x024
94,0x05e
822,0x336
654,0x28e
225,0x0e1
310,0x136
516,0x204
982,0x3d6
36,0x024
57,0x039
492,0x1ec
775,0x307
973,0x3cd
764,0x2fc
251,0x0fb
305,0x131
618,0x26a
817,0x331
607,0x25f
984,0x3d8
307,0x133
842,0x34a
889,0x379
896,0x380
82,0x052
727,0x2d7
531,0x213
211,0x0d3
494,0x1ee
90,0x05a
938,0x3aa
104,0x068
427,0x1ab
750,0x2ee
93,0x05d
428,0x1ac
26,0x01a
943,0x3af
985,0x3d9
787,0x313
950,0x3b6
136,0x088
478,0x1de
130,0x082
198,0x0c6
524,0x20c
972,0x3cc
1018,0x3fa
371,0x173
674,0x2a2
856,0x358
643,0x283
973,0x3cd
18,0x012
855,0x357
549,0x225
249,0x0f9
776,0x308
511,0x1ff
390,0x186
624,0x270
953,0x3b9
797,0x31d
814,0x32e
304,0x130
84,0x054
424,0x1a8
141,0x08d
294,0x126
166,0x0a6
555,0x22b
488,0x1e8
835,0x343
428,0x1ac
980,0x3d4
574,0x23e
576,0x240
706,0x2c2
84,0x054
782,0x30e
62,0x03e
931,0x3a3
929,0x3a1
194,0x0c2
663,0x297
49,0x031
884,0x374
400,0x190
559,0x22f
910,0x38e
736,0x2e0
736,0x2e0
213,0x0d5
914,0x392
125,0x07d
18,0x012
1008,0x3f0
667,0x29b
884,0x374
427,0x1ab
965,0x3c5
853,0x355
639,0x27f
27,0x01b
117,0x075
416,0x1a0
826,0x33a
81,0x051
389,0x185
26,0x01a
174,0x0ae
121,0x079
236,0x0ec
48,0x030
144,0x090
803,0x323
537,0x219
788,0x314
957,0x3bd
201,0x0c9
29,0x01d
213,0x0d5
119,0x077
517,0x205
702,0x2be
818,0x332
127,0x07f
240,0x0f0
517,0x205
262,0x106
779,0x30b
276,0x114
767,0x2ff
670,0x29e
1002,0x3ea
566,0x236
383,0x17f
377,0x179
857,0x359
924,0x39c
1012,0x3f4
605,0x25d
392,0x188
470,0x1d6
454,0x1c6
1015,0x3f7
230,0x0e6
871,0x367
388,0x184
88,0x058
119,0x077
872,0x368
254,0x0fe
951,0x3b7
442,0x1ba
808,0x328
995,0x3e3
879,0x36f
356,0x164
630,0x276
224,0x0e0
652,0x28c
36,0x024
1017,0x3f9
890,0x37a
236,0x0ec
304,0x130
45,0x02d
324,0x144
461,0x1cd
150,0x096
223,0x0df
85,0x055
137,0x089
390,0x186
790,0x316
68,0x044
148,0x094
568,0x238
435,0x1b3
720,0x2d0
17,0x011
220,0x0dc
876,0x36c
870,0x366
494,0x1ee
4,0x004
578,0x242
605,0x25d
1022,0x3fe
657,0x291
945,0x3b1
827,0x33b
306,0x132
482,0x1e2
864,0x360
302,0x12e
131,0x083
943,0x3af
32,0x020
582,0x246
549,0x225
962,0x3c2
1002,0x3ea
428,0x1ac
339,0x153
9,0x009
420,0x1a4
188,0x0bc
397,0x18d
38,0x026
613,0x265
419,0x1a3
530,0x212
219,0x0db
253,0x0fd
850,0x352
556,0x22c
705,0x2c1
357,0x165
340,0x154
757,0x2f5
882,0x372
832,0x340
765,0x2fd
545,0x221
32,0x020
144,0x090
538,0x21a
701,0x2bd
914,0x392
756,0x2f4
1005,0x3ed
1,0x001
853,0x355
376,0x178
367,0x16f
452,0x1c4
375,0x177
58,0x03a
